,date,prcp
530,2017-05-22,0.0
531,2017-05-22,0.06
532,2017-05-22,0.3
533,2017-05-21,0.0
534,2017-05-21,0.0
535,2017-05-21,0.0
536,2017-05-21,0.01
537,2017-05-21,0.0
538,2017-05-20,0.0
539,2017-05-20,0.0
540,2017-05-20,0.01
541,2017-05-20,
542,2017-05-20,0.02
543,2017-05-20,
544,2017-05-19,0.0
545,2017-05-19,0.02
546,2017-05-19,0.01
547,2017-05-19,0.01
548,2017-05-18,0.01
549,2017-05-18,0.09
550,2017-05-18,0.16
551,2017-05-18,0.46
552,2017-05-18,0.13
553,2017-05-18,0.0
554,2017-05-17,0.0
555,2017-05-17,0.02
556,2017-05-17,0.0
557,2017-05-17,0.0
558,2017-05-17,0.07
559,2017-05-17,0.06
560,2017-05-16,0.01
561,2017-05-16,0.03
562,2017-05-16,0.05
563,2017-05-16,0.0
564,2017-05-16,0.03
565,2017-05-16,0.3
566,2017-05-15,0.05
567,2017-05-15,0.08
568,2017-05-15,
569,2017-05-15,0.06
570,2017-05-15,0.09
571,2017-05-15,0.6
572,2017-05-14,0.0
573,2017-05-14,0.05
574,2017-05-14,0.0
575,2017-05-14,0.17
576,2017-05-14,1.0
577,2017-05-13,0.0
578,2017-05-13,0.02
579,2017-05-13,0.0
580,2017-05-13,0.12
581,2017-05-13,0.1
582,2017-05-12,0.0
583,2017-05-12,0.04
584,2017-05-12,
585,2017-05-12,0.0
586,2017-05-12,0.02
587,2017-05-12,0.1
588,2017-05-11,0.01
589,2017-05-11,0.03
590,2017-05-11,0.0
591,2017-05-11,0.12
592,2017-05-11,0.44
593,2017-05-10,0.0
594,2017-05-10,0.05
595,2017-05-10,0.0
596,2017-05-10,0.06
597,2017-05-10,0.2
598,2017-05-10,0.55
599,2017-05-09,1.62
600,2017-05-09,0.52
601,2017-05-09,0.68
602,2017-05-09,1.58
603,2017-05-09,0.23
604,2017-05-08,0.0
605,2017-05-08,0.22
606,2017-05-08,0.95
607,2017-05-08,0.0
608,2017-05-08,0.73
609,2017-05-08,1.11
610,2017-05-07,0.0
611,2017-05-07,0.07
612,2017-05-07,0.0
613,2017-05-07,0.02
614,2017-05-07,0.03
615,2017-05-06,0.0
616,2017-05-06,0.0
617,2017-05-06,0.06
618,2017-05-06,0.0
619,2017-05-06,0.0
620,2017-05-06,0.0
621,2017-05-05,0.0
622,2017-05-05,0.0
623,2017-05-05,0.28
624,2017-05-05,0.0
625,2017-05-05,0.0
626,2017-05-05,0.1
627,2017-05-04,0.0
628,2017-05-04,0.0
629,2017-05-04,0.08
630,2017-05-04,0.0
631,2017-05-04,0.0
632,2017-05-04,
633,2017-05-03,0.0
634,2017-05-03,0.01
635,2017-05-03,0.01
636,2017-05-03,0.0
637,2017-05-03,0.01
638,2017-05-02,0.0
639,2017-05-02,0.03
640,2017-05-02,0.01
641,2017-05-02,0.0
642,2017-05-02,0.01
643,2017-05-02,0.0
644,2017-05-01,0.26
645,2017-05-01,0.07
646,2017-05-01,0.03
647,2017-05-01,0.07
648,2017-05-01,0.13
649,2017-05-01,0.25
650,2017-04-30,0.89
651,2017-04-30,1.21
652,2017-04-30,1.17
653,2017-04-30,1.31
654,2017-04-30,1.04
655,2017-04-30,0.8
656,2017-04-29,0.12
657,2017-04-29,0.35
658,2017-04-29,0.95
659,2017-04-29,6.25
660,2017-04-29,0.37
661,2017-04-29,0.0
662,2017-04-28,0.0
663,2017-04-28,2.6
664,2017-04-28,0.09
665,2017-04-28,
666,2017-04-28,0.0
667,2017-04-28,0.76
668,2017-04-28,0.79
669,2017-04-27,0.0
670,2017-04-27,0.1
671,2017-04-27,0.02
672,2017-04-27,
673,2017-04-27,0.0
674,2017-04-27,0.19
675,2017-04-27,0.11
676,2017-04-26,0.0
677,2017-04-26,0.0
678,2017-04-26,0.14
679,2017-04-26,0.01
680,2017-04-26,0.02
681,2017-04-26,0.22
682,2017-04-25,0.0
683,2017-04-25,0.0
684,2017-04-25,0.0
685,2017-04-25,
686,2017-04-25,0.0
687,2017-04-25,0.0
688,2017-04-25,0.0
689,2017-04-24,0.0
690,2017-04-24,0.0
691,2017-04-24,
692,2017-04-24,
693,2017-04-24,
694,2017-04-24,0.01
695,2017-04-24,0.05
696,2017-04-23,0.03
697,2017-04-23,0.02
698,2017-04-23,0.06
699,2017-04-23,0.35
700,2017-04-22,0.32
701,2017-04-22,1.01
702,2017-04-22,0.7
703,2017-04-22,1.58
704,2017-04-22,1.35
705,2017-04-21,0.23
706,2017-04-21,1.16
707,2017-04-21,1.05
708,2017-04-21,
709,2017-04-21,2.36
710,2017-04-21,1.74
711,2017-04-21,1.84
712,2017-04-20,0.05
713,2017-04-20,0.33
714,2017-04-20,0.0
715,2017-04-20,
716,2017-04-20,0.35
717,2017-04-20,0.05
718,2017-04-20,0.0
719,2017-04-19,0.02
720,2017-04-19,0.02
721,2017-04-19,0.0
722,2017-04-19,
723,2017-04-19,0.0
724,2017-04-19,0.02
725,2017-04-19,0.14
726,2017-04-18,0.0
727,2017-04-18,0.08
728,2017-04-18,0.12
729,2017-04-18,0.0
730,2017-04-18,0.15
731,2017-04-18,2.03
732,2017-04-18,0.98
733,2017-04-17,0.02
734,2017-04-17,0.41
735,2017-04-17,
736,2017-04-17,
737,2017-04-17,0.3
738,2017-04-17,1.04
739,2017-04-17,1.3
740,2017-04-16,0.0
741,2017-04-16,0.49
742,2017-04-16,0.0
743,2017-04-16,0.47
744,2017-04-16,0.11
745,2017-04-15,0.01
746,2017-04-15,0.45
747,2017-04-15,0.0
748,2017-04-15,0.38
749,2017-04-15,0.9
750,2017-04-14,0.26
751,2017-04-14,0.69
752,2017-04-14,0.29
753,2017-04-14,0.36
754,2017-04-14,2.3
755,2017-04-14,2.82
756,2017-04-13,0.0
757,2017-04-13,0.27
758,2017-04-13,0.0
759,2017-04-13,
760,2017-04-13,0.0
761,2017-04-13,0.59
762,2017-04-13,0.23
763,2017-04-12,0.0
764,2017-04-12,0.03
765,2017-04-12,0.29
766,2017-04-12,
767,2017-04-12,0.0
768,2017-04-12,0.11
769,2017-04-12,0.65
770,2017-04-11,0.0
771,2017-04-11,0.03
772,2017-04-11,0.16
773,2017-04-11,
774,2017-04-11,0.0
775,2017-04-11,0.03
776,2017-04-11,0.25
777,2017-04-10,0.0
778,2017-04-10,0.01
779,2017-04-10,0.0
780,2017-04-10,
781,2017-04-10,0.0
782,2017-04-10,0.01
783,2017-04-10,0.0
784,2017-04-09,0.0
785,2017-04-09,0.0
786,2017-04-09,
787,2017-04-09,
788,2017-04-09,0.0
789,2017-04-09,0.0
790,2017-04-08,0.0
791,2017-04-08,0.0
792,2017-04-08,0.0
793,2017-04-08,
794,2017-04-07,0.0
795,2017-04-07,0.0
796,2017-04-07,0.0
797,2017-04-07,0.0
798,2017-04-07,0.0
799,2017-04-07,0.0
800,2017-04-06,0.0
801,2017-04-06,0.0
802,2017-04-06,0.0
803,2017-04-06,0.0
804,2017-04-06,0.0
805,2017-04-06,0.06
806,2017-04-06,0.0
807,2017-04-05,0.0
808,2017-04-05,0.04
809,2017-04-05,0.07
810,2017-04-05,0.0
811,2017-04-05,0.0
812,2017-04-05,0.1
813,2017-04-05,0.45
814,2017-04-04,0.0
815,2017-04-04,0.04
816,2017-04-04,0.0
817,2017-04-04,0.0
818,2017-04-04,0.0
819,2017-04-04,0.09
820,2017-04-04,0.02
821,2017-04-03,0.0
822,2017-04-03,0.08
823,2017-04-03,0.09
824,2017-04-03,
825,2017-04-03,0.0
826,2017-04-03,0.26
827,2017-04-03,0.23
828,2017-04-02,0.0
829,2017-04-02,0.0
830,2017-04-02,0.0
831,2017-04-02,0.0
832,2017-04-02,0.0
833,2017-04-02,0.0
834,2017-04-01,0.0
835,2017-04-01,0.0
836,2017-04-01,0.0
837,2017-04-01,0.0
838,2017-04-01,0.21
839,2017-04-01,0.2
840,2017-03-31,0.0
841,2017-03-31,0.0
842,2017-03-31,0.0
843,2017-03-31,0.0
844,2017-03-31,0.0
845,2017-03-31,0.01
846,2017-03-31,
847,2017-03-30,0.0
848,2017-03-30,0.08
849,2017-03-30,0.03
850,2017-03-30,
851,2017-03-30,0.0
852,2017-03-30,0.04
853,2017-03-29,0.0
854,2017-03-29,0.0
855,2017-03-29,0.03
856,2017-03-29,
857,2017-03-29,0.08
858,2017-03-29,0.01
859,2017-03-29,0.07
860,2017-03-28,0.0
861,2017-03-28,0.03
862,2017-03-28,0.0
863,2017-03-28,
864,2017-03-28,0.0
865,2017-03-28,0.0
866,2017-03-28,0.68
867,2017-03-27,0.0
868,2017-03-27,0.0
869,2017-03-27,
870,2017-03-27,0.0
871,2017-03-27,0.01
872,2017-03-27,0.0
873,2017-03-26,0.0
874,2017-03-26,0.0
875,2017-03-26,0.0
876,2017-03-26,0.0
877,2017-03-26,0.0
878,2017-03-25,0.0
879,2017-03-25,0.13
880,2017-03-25,0.43
881,2017-03-25,0.93
882,2017-03-25,0.48
883,2017-03-24,0.02
884,2017-03-24,0.6
885,2017-03-24,0.15
886,2017-03-24,0.07
887,2017-03-24,0.12
888,2017-03-24,0.17
889,2017-03-23,0.0
890,2017-03-23,0.0
891,2017-03-23,0.0
892,2017-03-23,0.02
893,2017-03-23,0.0
894,2017-03-23,0.03
895,2017-03-22,0.0
896,2017-03-22,0.0
897,2017-03-22,0.0
898,2017-03-22,0.0
899,2017-03-22,0.0
900,2017-03-22,0.0
901,2017-03-21,0.0
902,2017-03-21,0.0
903,2017-03-21,0.0
904,2017-03-21,0.0
905,2017-03-21,0.09
906,2017-03-21,0.0
907,2017-03-20,0.0
908,2017-03-20,0.0
909,2017-03-20,
910,2017-03-20,0.0
911,2017-03-20,0.02
912,2017-03-20,0.0
913,2017-03-19,0.0
914,2017-03-19,0.0
915,2017-03-19,0.0
916,2017-03-19,0.0
917,2017-03-19,0.0
918,2017-03-18,0.0
919,2017-03-18,0.0
920,2017-03-18,0.0
921,2017-03-18,0.0
922,2017-03-18,0.0
923,2017-03-18,
924,2017-03-17,0.0
925,2017-03-17,0.19
926,2017-03-17,0.06
927,2017-03-17,
928,2017-03-17,0.35
929,2017-03-17,0.12
930,2017-03-16,0.0
931,2017-03-16,0.0
932,2017-03-16,
933,2017-03-16,
934,2017-03-16,0.0
935,2017-03-16,0.0
936,2017-03-16,0.0
937,2017-03-15,0.0
938,2017-03-15,0.0
939,2017-03-15,0.0
940,2017-03-15,0.0
941,2017-03-15,0.06
942,2017-03-15,0.0
943,2017-03-14,0.0
944,2017-03-14,0.0
945,2017-03-14,0.0
946,2017-03-14,0.06
947,2017-03-14,0.0
948,2017-03-14,0.0
949,2017-03-14,0.0
950,2017-03-13,0.0
951,2017-03-13,0.0
952,2017-03-13,0.0
953,2017-03-13,
954,2017-03-13,0.0
955,2017-03-13,0.0
956,2017-03-13,
957,2017-03-12,0.0
958,2017-03-12,0.0
959,2017-03-12,
960,2017-03-12,0.0
961,2017-03-12,0.0
962,2017-03-11,0.0
963,2017-03-11,0.03
964,2017-03-11,0.0
965,2017-03-11,0.01
966,2017-03-11,0.0
967,2017-03-10,0.0
968,2017-03-10,0.13
969,2017-03-10,0.13
970,2017-03-10,0.0
971,2017-03-10,0.0
972,2017-03-10,0.03
973,2017-03-10,0.0
974,2017-03-09,0.0
975,2017-03-09,0.8
976,2017-03-09,0.5
977,2017-03-09,0.0
978,2017-03-09,
979,2017-03-09,0.65
980,2017-03-09,0.01
981,2017-03-08,0.0
982,2017-03-08,0.0
983,2017-03-08,0.0
984,2017-03-08,
985,2017-03-08,0.0
986,2017-03-08,0.0
987,2017-03-07,0.0
988,2017-03-07,0.0
989,2017-03-07,0.0
990,2017-03-07,
991,2017-03-07,0.0
992,2017-03-07,0.0
993,2017-03-06,0.0
994,2017-03-06,0.51
995,2017-03-06,
996,2017-03-06,
997,2017-03-06,
998,2017-03-06,0.03
999,2017-03-06,0.0
1000,2017-03-05,0.35
1001,2017-03-05,0.1
1002,2017-03-05,0.41
1003,2017-03-05,0.35
1004,2017-03-04,0.0
1005,2017-03-04,0.0
1006,2017-03-04,0.0
1007,2017-03-04,0.0
1008,2017-03-04,0.0
1009,2017-03-03,0.47
1010,2017-03-03,0.54
1011,2017-03-03,
1012,2017-03-03,0.14
1013,2017-03-03,0.25
1014,2017-03-03,0.27
1015,2017-03-03,0.56
1016,2017-03-02,0.73
1017,2017-03-02,1.45
1018,2017-03-02,0.44
1019,2017-03-02,1.48
1020,2017-03-02,1.88
1021,2017-03-02,0.58
1022,2017-03-01,1.19
1023,2017-03-01,2.2
1024,2017-03-01,1.12
1025,2017-03-01,2.4
1026,2017-03-01,0.59
1027,2017-03-01,2.12
1028,2017-03-01,2.0
1029,2017-02-28,0.0
1030,2017-02-28,0.16
1031,2017-02-28,0.04
1032,2017-02-28,
